,index,term,course,Course,Instructor,Qtr/Yr,Enrollment,CAPEs Returned,Question,Freshman,Sophomore,Junior,Senior,Graduate,Extension,Visitor,Major,Minor,Gen. Ed.,Elective,Interest,A,B,C,D,F,P,NP,Strongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Not Applicable,0-1,2-3,4-5,6-7,8-9,10-11,12-13,14-15,16-17,18-19,20 or more,Very Rarely,Some of the Time,Most of the Time,Yes,No
0,0,WI22,AAS 10,AAS 10 (A01) - Intro/African-American Studies,"Butler, Elizabeth Annette",WI22,66,38,General Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,WI22,AAS 10,,,,,,Your class level is,5,13,12,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,WI22,AAS 10,,,,,,Your reason for taking this class is,,,,,,,,0,0,33,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,WI22,AAS 10,,,,,,What grade do you expect in this class?,,,,,,,,,,,,,25,10,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,
4,0,WI22,AAS 10,,,,,,I learned a great deal from this course.,,,,,,,,,,,,,,,,,,,,0,2,3,19,14,0,,,,,,,,,,,,,,,,
5,0,WI22,AAS 10,,,,,,How many hours a week do you spend studying outside of class on average?,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,12,3,1,2,0,0,0,0,0,,,,,
6,0,WI22,AAS 10,,,,,,How often do you attend this course?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,33,,
7,0,WI22,AAS 10,,,,,,The course material is intellectually stimulating.,,,,,,,,,,,,,,,,,,,,0,3,3,17,13,0,,,,,,,,,,,,,,,,
8,0,WI22,AAS 10,,,,,,Assignments promote learning.,,,,,,,,,,,,,,,,,,,,1,4,2,13,17,0,,,,,,,,,,,,,,,,
9,0,WI22,AAS 10,,,,,,Required reading is useful.,,,,,,,,,,,,,,,,,,,,0,4,6,16,10,0,,,,,,,,,,,,,,,,
10,0,WI22,AAS 10,,,,,,This course is difficult relative to others.,,,,,,,,,,,,,,,,,,,,7,14,10,4,2,0,,,,,,,,,,,,,,,,
11,0,WI22,AAS 10,,,,,,Exams are representative of the course material.,,,,,,,,,,,,,,,,,,,,1,2,7,7,1,19,,,,,,,,,,,,,,,,
12,0,WI22,AAS 10,,,,,,Do you recommend this course overall?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3
13,0,WI22,AAS 10,,,,,,Instructor displays a proficient command of the material.,,,,,,,,,,,,,,,,,,,,0,1,2,5,25,0,,,,,,,,,,,,,,,,
14,0,WI22,AAS 10,,,,,,Instructor is well prepared for classes.,,,,,,,,,,,,,,,,,,,,0,1,1,9,23,0,,,,,,,,,,,,,,,,
15,0,WI22,AAS 10,,,,,,Instructor's speech is clear and audible.,,,,,,,,,,,,,,,,,,,,0,1,0,5,28,0,,,,,,,,,,,,,,,,
16,0,WI22,AAS 10,,,,,,Instructor explains the course material well.,,,,,,,,,,,,,,,,,,,,1,1,1,5,25,0,,,,,,,,,,,,,,,,
17,0,WI22,AAS 10,,,,,,Lectures hold your attention.,,,,,,,,,,,,,,,,,,,,0,5,3,12,14,0,,,,,,,,,,,,,,,,
18,0,WI22,AAS 10,,,,,,Instructor’s lecture style facilitates note-taking.,,,,,,,,,,,,,,,,,,,,2,5,12,5,7,3,,,,,,,,,,,,,,,,
19,0,WI22,AAS 10,,,,,,Instructor shows concern for students' learning.,,,,,,,,,,,,,,,,,,,,0,1,1,9,23,0,,,,,,,,,,,,,,,,
20,0,WI22,AAS 10,,,,,,Instructor promotes appropriate questions/discussion.,,,,,,,,,,,,,,,,,,,,0,2,1,5,26,0,,,,,,,,,,,,,,,,
21,0,WI22,AAS 10,,,,,,Instructor is accessible outside of class.,,,,,,,,,,,,,,,,,,,,0,0,2,10,19,3,,,,,,,,,,,,,,,,
22,0,WI22,AAS 10,,,,,,Instructor starts and finishes class on time.,,,,,,,,,,,,,,,,,,,,0,1,0,8,25,0,,,,,,,,,,,,,,,,
23,0,WI22,AAS 10,,,,,,Instructor is effective in promoting academic integrity.,,,,,,,,,,,,,,,,,,,,0,0,2,9,22,1,,,,,,,,,,,,,,,,
24,0,WI22,AAS 10,,,,,,"The instructor practiced effective teaching strategies that acknowledged and valued differences among students, including differences of race and gender identity.",,,,,,,,,,,,,,,,,,,,1,0,2,7,24,0,,,,,,,,,,,,,,,,
25,0,WI22,AAS 10,,,,,,Do you recommend this professor overall?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2
0,0,WI22,ANAR 116,ANAR 116 (A00) - Sea Level Change - Israel,"Shtienberg, Gilad",WI22,16,4,General Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,WI22,ANAR 116,,,,,,Your class level is,1,0,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,WI22,ANAR 116,,,,,,Your reason for taking this class is,,,,,,,,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,WI22,ANAR 116,,,,,,What grade do you expect in this class?,,,,,,,,,,,,,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4,0,WI22,ANAR 116,,,,,,I learned a great deal from this course.,,,,,,,,,,,,,,,,,,,,0,0,1,2,1,0,,,,,,,,,,,,,,,,
5,0,WI22,ANAR 116,,,,,,How many hours a week do you spend studying outside of class on average?,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0,0,0,0,0,0,0,,,,,
6,0,WI22,ANAR 116,,,,,,How often do you attend this course?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,,
7,0,WI22,ANAR 116,,,,,,The course material is intellectually stimulating.,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,0,,,,,,,,,,,,,,,,
8,0,WI22,ANAR 116,,,,,,Assignments promote learning.,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,0,,,,,,,,,,,,,,,,
9,0,WI22,ANAR 116,,,,,,Required reading is useful.,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,,,,,,,,,,,,,,,,
10,0,WI22,ANAR 116,,,,,,This course is difficult relative to others.,,,,,,,,,,,,,,,,,,,,0,1,3,0,0,0,,,,,,,,,,,,,,,,
11,0,WI22,ANAR 116,,,,,,Exams are representative of the course material.,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,3,,,,,,,,,,,,,,,,
12,0,WI22,ANAR 116,,,,,,Do you recommend this course overall?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0
13,0,WI22,ANAR 116,,,,,,Instructor displays a proficient command of the material.,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,,,,,,,,,,,,,,,,
14,0,WI22,ANAR 116,,,,,,Instructor is well prepared for classes.,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,,,,,,,,,,,,,,,,
15,0,WI22,ANAR 116,,,,,,Instructor's speech is clear and audible.,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,,,,,,,,,,,,,,,,
16,0,WI22,ANAR 116,,,,,,Instructor explains the course material well.,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,,,,,,,,,,,,,,,,
17,0,WI22,ANAR 116,,,,,,Lectures hold your attention.,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,0,,,,,,,,,,,,,,,,
18,0,WI22,ANAR 116,,,,,,Instructor’s lecture style facilitates note-taking.,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,0,,,,,,,,,,,,,,,,
19,0,WI22,ANAR 116,,,,,,Instructor shows concern for students' learning.,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,,,,,,,,,,,,,,,,
20,0,WI22,ANAR 116,,,,,,Instructor promotes appropriate questions/discussion.,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,,,,,,,,,,,,,,,,
21,0,WI22,ANAR 116,,,,,,Instructor is accessible outside of class.,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,,,,,,,,,,,,,,,,
22,0,WI22,ANAR 116,,,,,,Instructor starts and finishes class on time.,,,,,,,,,,,,,,,,,,,,0,0,0,1,3,0,,,,,,,,,,,,,,,,
23,0,WI22,ANAR 116,,,,,,Instructor is effective in promoting academic integrity.,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,1,,,,,,,,,,,,,,,,
24,0,WI22,ANAR 116,,,,,,"The instructor practiced effective teaching strategies that acknowledged and valued differences among students, including differences of race and gender identity.",,,,,,,,,,,,,,,,,,,,0,0,0,0,3,1,,,,,,,,,,,,,,,,
25,0,WI22,ANAR 116,,,,,,Do you recommend this professor overall?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0
